rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
30.0,5,NYC,q25_sum,0.16942814192814476,0.08956959803340457,0.9039733511566839,0.5338314159081031
30.0,5,NYC,q30_50_20_sum,0.16942814192814476,0.08955225836239993,0.9039733511566839,0.5339723191181859
30.0,5,NYC,q25_alpha_transfer_tuned,0.16318921956019014,0.08829625499864042,0.9093006625693335,0.5360165386758261
30.0,5,NYC,q25_valid_r_plus_2n,0.16942814192814476,0.08963580637025999,0.9037895116986508,0.533947629599863
30.0,6,NYC,q30_sum,0.16942814192814476,0.0894609613805754,0.9037895116986508,0.5333789738692218
30.0,6,NYC,q20_sum,0.16942814192814476,0.08949091743503626,0.9039733511566839,0.5334390492289544
30.0,6,NYC,q25_sum,0.16942814192814476,0.08950825710604089,0.9039733511566839,0.5333733253599809
30.0,6,NYC,q30_50_20_sum,0.16942814192814476,0.08949091743503626,0.9039733511566839,0.5334390492289544
30.0,6,NYC,q25_alpha_transfer_tuned,0.16318921956019014,0.08815043419282066,0.9093006625693335,0.5354117258359702
30.0,6,NYC,q25_valid_r_plus_2n,0.16942814192814476,0.08950825710604089,0.9039733511566839,0.5333733253599809
30.0,4,Singapore,q30_sum,0.4643721692398729,0.24501356681626418,0.8241176304043821,0.4847258095356464
30.0,4,Singapore,q20_sum,0.4648797834530709,0.24532534677264564,0.8241176304043821,0.48457833341191975
30.0,4,Singapore,q25_sum,0.4652181929285362,0.245338734414491,0.8241176304043821,0.48463774900686224
30.0,4,Singapore,q30_50_20_sum,0.4648797834530709,0.24532534677264564,0.8241176304043821,0.48457833341191975
30.0,4,Singapore,q25_alpha_transfer_tuned,0.4551505110334431,0.24319115171223887,0.8330008791353466,0.4868436216763523
30.0,4,Singapore,q25_valid_r_plus_2n,0.4652181929285362,0.245338734414491,0.8241176304043821,0.48463774900686224
30.0,5,Singapore,q30_sum,0.4643721692398729,0.2444761525972957,0.8241176304043821,0.48438779030818513
30.0,5,Singapore,q20_sum,0.4648797834530709,0.2447514316968976,0.8241176304043821,0.4841726054924181
30.0,5,Singapore,q25_sum,0.4652181929285362,0.24480132019552253,0.8241176304043821,0.4842797121430741
30.0,5,Singapore,q30_50_20_sum,0.4648797834530709,0.2447514316968976,0.8241176304043821,0.4841726054924181
30.0,5,Singapore,q25_alpha_transfer_tuned,0.4566310524886039,0.24313785872828403,0.8330008791353466,0.486988640650756
30.0,5,Singapore,q25_valid_r_plus_2n,0.4652181929285362,0.24480132019552253,0.8241176304043821,0.4842797121430741
30.0,6,Singapore,q30_sum,0.4643721692398729,0.24393036106039856,0.8241176304043821,0.4841438416255082
30.0,6,Singapore,q20_sum,0.4648797834530709,0.2442056401600004,0.8241176304043821,0.4840042565974342
30.0,6,Singapore,q25_sum,0.4652181929285362,0.24425552865862538,0.8241176304043821,0.4841391703393877
30.0,6,Singapore,q30_50_20_sum,0.4648797834530709,0.2442056401600004,0.8241176304043821,0.4840042565974342
30.0,6,Singapore,q25_alpha_transfer_tuned,0.46149568869841767,0.2438147613961733,0.8330008791353466,0.48679532829098254
30.0,6,Singapore,q25_valid_r_plus_2n,0.4652181929285362,0.24425552865862538,0.8241176304043821,0.4841391703393877
30.0,4,Tokyo,q30_sum,0.13225653152302816,0.07639606372931813,0.7860325847339841,0.452206985346569
30.0,4,Tokyo,q20_sum,0.13205943003472156,0.07617906458166283,0.7867792574215713,0.45233899618067136
30.0,4,Tokyo,q25_sum,0.13225653152302816,0.07639606372931813,0.7860325847339841,0.452206985346569
30.0,4,Tokyo,q30_50_20_sum,0.13205943003472156,0.07617906458166283,0.7867792574215713,0.45233899618067136
30.0,4,Tokyo,q25_alpha_transfer_tuned,0.13165465108663552,0.07624328270327478,0.7938767353006865,0.45459117044111874
30.0,4,Tokyo,q25_valid_r_plus_2n,0.13225653152302816,0.07639606372931813,0.7860325847339841,0.452206985346569
30.0,5,Tokyo,q30_sum,0.13225653152302816,0.07623972025167475,0.7860325847339841,0.45199978253556855
30.0,5,Tokyo,q20_sum,0.13205943003472156,0.07605322978857201,0.7867792574215713,0.4521270661105905
30.0,5,Tokyo,q25_sum,0.13225653152302816,0.07623972025167475,0.7860325847339841,0.45199978253556855
30.0,5,Tokyo,q30_50_20_sum,0.13205943003472156,0.07605322978857201,0.7867792574215713,0.4521270661105905
30.0,5,Tokyo,q25_alpha_transfer_tuned,0.13156091280392082,0.07606451194533251,0.7938767353006865,0.45426452152673036
30.0,5,Tokyo,q25_valid_r_plus_2n,0.13225653152302816,0.07623972025167475,0.7860325847339841,0.45199978253556855
30.0,6,Tokyo,q30_sum,0.13225653152302816,0.07622483298694573,0.7860325847339841,0.45152537885610744
30.0,6,Tokyo,q20_sum,0.13205943003472156,0.07604245247382743,0.7867792574215713,0.45160284824074837
30.0,6,Tokyo,q25_sum,0.13225653152302816,0.07622483298694573,0.7860325847339841,0.45152537885610744
30.0,6,Tokyo,q30_50_20_sum,0.13205943003472156,0.07604245247382743,0.7867792574215713,0.45160284824074837
